expressionKey,spellKey,spellLabel,expressionKind,diceExpression,staticAmount,damageTypeKeys,healingKind,context,sourceSection
acid-arrow-damage-1,acid-arrow,Acid Arrow,damage,4d4,,acid,,"t within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage only. Us",Spell Descriptions: Acid Arrow
acid-arrow-damage-2,acid-arrow,Acid Arrow,damage,2d4,,acid,,"ursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 Acid damage and 2d4 Acid damage at the end of its next turn. On a miss, the arrow splashes the target with acid for half as much of the initial damage only. Using a Higher-Level S",Spell Descriptions: Acid Arrow
acid-arrow-damage-3,acid-arrow,Acid Arrow,damage,1d4,,,,f as much of the initial damage only. Using a Higher-Level Spell Slot. The damage (both initial and later) increases by 1d4 for each spell slot level above 2.,Spell Descriptions: Acid Arrow
acid-splash-damage-1,acid-splash,Acid Splash,damage,1d6,,acid,,"re it explodes in a 5-foot-radius Sphere. Each creature in that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-2,acid-splash,Acid Splash,damage,1d6,,acid,,"that Sphere must succeed on a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-3,acid-splash,Acid Splash,damage,2d6,,acid,,"a Dexterity saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-4,acid-splash,Acid Splash,damage,3d6,,acid,,"y saving throw or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
acid-splash-damage-5,acid-splash,Acid Splash,damage,4d6,,acid,,"or take 1d6 Acid damage. Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6).",Spell Descriptions: Acid Splash
aid-healing-1,aid,Aid,healing,,5,,hit-point-maximum,Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration. Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.,Spell Descriptions: Aid
aid-healing-2,aid,Aid,healing,,5,,hit-point-maximum,Hit Point maximum and current Hit Points increase by 5 for the duration. Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2.,Spell Descriptions: Aid
alter-self-damage-1,alter-self,Alter Self,damage,1d6,,bludgeoning;piercing,,"rns (Piercing), or hooves (Bludgeoning). When you use your Unarmed Strike to deal damage with that new growth, it deals 1d6 damage of the type in parentheses instead of dealing the normal damage for your Unarmed Strike, and you use your spellcasting ability modifier for the attack a",Spell Descriptions: Alter Self
animate-objects-damage-1,animate-objects,Animate Objects,damage,1d4,,,,"ny remaining damage carries over to that form. Using a Higher-Level Spell Slot. The creature's Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",Spell Descriptions: Animate Objects
animate-objects-damage-2,animate-objects,Animate Objects,damage,1d6,,,,"es over to that form. Using a Higher-Level Spell Slot. The creature's Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",Spell Descriptions: Animate Objects
animate-objects-damage-3,animate-objects,Animate Objects,damage,1d12,,,,"form. Using a Higher-Level Spell Slot. The creature's Slam damage increases by 1d4 (Medium or smaller), 1d6 (Large), or 1d12 (Huge) for each spell slot level above 5.",Spell Descriptions: Animate Objects
arcane-hand-damage-1,arcane-hand,Arcane Hand,damage,5d8,,force,,"ts: Clenched Fist. The hand strikes a target within 5 feet of it. Make a melee spell attack. On a hit, the target takes 5d8 Force damage. Forceful Hand. The hand attempts to push a Huge or smaller creature within 5 feet of it. The target must succeed on a Strength saving throw, or t",Spell Descriptions: Arcane Hand
arcane-hand-damage-2,arcane-hand,Arcane Hand,damage,4d6,,bludgeoning,,"he target, you can take a Bonus Action to cause the hand to crush it, dealing Bludgeoning damage to the target equal to 4d6 plus your spellcasting ability modifier. Interposing Hand. The hand grants you Half Cover against attacks and other effects that originate from its space or th",Spell Descriptions: Arcane Hand
arcane-hand-damage-3,arcane-hand,Arcane Hand,damage,2d8,,,,ts as Difficult Terrain for your enemies. Using a Higher-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.,Spell Descriptions: Arcane Hand
arcane-hand-damage-4,arcane-hand,Arcane Hand,damage,2d6,,,,her-Level Spell Slot. The damage of the Clenched Fist increases by 2d8 and the damage of the Grasping Hand increases by 2d6 for each spell slot level above 5.,Spell Descriptions: Arcane Hand
arcane-sword-damage-1,arcane-sword,Arcane Sword,damage,4d12,,force,,"make a melee spell attack against a target within 5 feet of the sword. On a hit, the target takes Force damage equal to 4d12 plus your spellcasting ability modifier. On your later turns, you can take a Bonus Action to move the sword up to 30 feet to a spot you can see and repeat the",Spell Descriptions: Arcane Sword
befuddlement-damage-1,befuddlement,Befuddlement,damage,10d12,,psychic,,"eature that you can see within range. The target makes an Intelligence saving throw. On a failed save, the target takes 10d12 Psychic damage and can't cast spells or take the Magic action. At the end of every 30 days, the target repeats the save, ending the effect on a success. The ef",Spell Descriptions: Befuddlement
bestow-curse-damage-1,bestow-curse,Bestow Curse,damage,1d8,,necrotic,,"Dodge action on that turn. • If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage. Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes.",Spell Descriptions: Bestow Curse
black-tentacles-damage-1,black-tentacles,Black Tentacles,damage,3d6,,bludgeoning,,"that area into Difficult Terrain. Each creature in that area makes a Strength saving throw. On a failed save, it takes 3d6 Bludgeoning damage, and it has the Restrained condition until the spell ends. A creature also makes that save if it enters the area or ends it turn there. A cr",Spell Descriptions: Black Tentacles
blade-barrier-damage-1,blade-barrier,Blade Barrier,damage,6d10,,force,,"ters Cover, and its space is Difficult Terrain. Any creature in the wall's space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall's space or ends it turn there.",Spell Descriptions: Blade Barrier
blight-damage-1,blight,Blight,damage,8d8,,necrotic,,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save. Alternatively, target a nonmagical",Spell Descriptions: Blight
blight-damage-2,blight,Blight,damage,1d8,,,,or shrub. It doesn't make a save; it simply withers and dies. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Blight
burning-hands-damage-1,burning-hands,Burning Hands,damage,3d6,,fire,,"A thin sheet of flames shoots forth from you. Each creature in a 15-foot Cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one. Flammable objects in the Cone that aren't being worn or carried start burning. Using a",Spell Descriptions: Burning Hands
burning-hands-damage-2,burning-hands,Burning Hands,damage,1d6,,,,s in the Cone that aren't being worn or carried start burning. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Burning Hands
call-lightning-damage-1,call-lightning,Call Lightning,damage,3d10,,lightning,,"t shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one. Until the spell ends, you can take a Magic action to call down lightning in that",Spell Descriptions: Call Lightning
call-lightning-damage-2,call-lightning,Call Lightning,damage,1d10,,,,"gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.",Spell Descriptions: Call Lightning
call-lightning-damage-3,call-lightning,Call Lightning,damage,1d10,,,,". Under such conditions, the spell's damage increases by 1d10. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.",Spell Descriptions: Call Lightning
chain-lightning-damage-1,chain-lightning,Chain Lightning,damage,10d8,,lightning,,"creature or an object and can be targeted by only one of the bolts. Each target makes a Dexterity saving throw, taking 10d8 Lightning damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. One additional bolt leaps from the first target",Spell Descriptions: Chain Lightning
chill-touch-damage-1,chill-touch,Chill Touch,damage,1d10,,necrotic,,"Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can't regain Hit Points until the end of your next turn. Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10),",Spell Descriptions: Chill Touch
chill-touch-damage-2,chill-touch,Chill Touch,damage,1d10,,,,"crotic damage, and it can't regain Hit Points until the end of your next turn. Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Chill Touch
chill-touch-damage-3,chill-touch,Chill Touch,damage,2d10,,,,"gain Hit Points until the end of your next turn. Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Chill Touch
chill-touch-damage-4,chill-touch,Chill Touch,damage,3d10,,,,"ints until the end of your next turn. Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Chill Touch
chill-touch-damage-5,chill-touch,Chill Touch,damage,4d10,,,,"end of your next turn. Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Chill Touch
chromatic-orb-damage-1,chromatic-orb,Chromatic Orb,damage,3d8,,,,"nder for the type of orb you create, and then make a ranged spell attack against the target. On a hit, the target takes 3d8 damage of the chosen type. If you roll the same number on two or more of the d8s, the orb leaps to a different target of your choice within 30 feet of the targ",Spell Descriptions: Chromatic Orb
chromatic-orb-damage-2,chromatic-orb,Chromatic Orb,damage,1d8,,,,"ap again unless you cast the spell with a level 2+ spell slot. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a maximum number of times equal to the level of the slot expended, and a creature can be targeted only once",Spell Descriptions: Chromatic Orb
circle-of-death-damage-1,circle-of-death,Circle of Death,damage,8d8,,necrotic,,"adius Sphere from a point you choose within range. Each creature in that area makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot l",Spell Descriptions: Circle of Death
circle-of-death-damage-2,circle-of-death,Circle of Death,damage,2d8,,,,e on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 6.,Spell Descriptions: Circle of Death
cloudkill-damage-1,cloudkill,Cloudkill,damage,5d8,,poison,,", ending the spell. Its area is Heavily Obscured. Each creature in the Sphere makes a Constitution saving throw, taking 5d8 Poison damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it",Spell Descriptions: Cloudkill
cloudkill-damage-2,cloudkill,Cloudkill,damage,1d8,,,,oves 10 feet away from you at the start of each of your turns. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Cloudkill
cone-of-cold-damage-1,cone-of-cold,Cone of Cold,damage,8d8,,cold,,"ash a blast of cold air. Each creature in a 60-foot Cone originating from you makes a Constitution saving throw, taking 8d8 Cold damage on a failed save or half as much damage on a successful one. A creature killed by this spell becomes a frozen statue until it thaws. Using a Higher",Spell Descriptions: Cone of Cold
cone-of-cold-damage-2,cone-of-cold,Cone of Cold,damage,1d8,,,,e killed by this spell becomes a frozen statue until it thaws. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Cone of Cold
conjure-animals-damage-1,conjure-animals,Conjure Animals,damage,3d10,,force;slashing,,"ends its turn there, you can force that creature to make a Dexterity saving throw. On a failed save, the creature takes 3d10 Slashing damage. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3",Spell Descriptions: Conjure Animals
conjure-animals-damage-2,conjure-animals,Conjure Animals,damage,1d10,,,,lashing damage. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.,Spell Descriptions: Conjure Animals
conjure-celestial-damage-1,conjure-celestial,Conjure Celestial,damage,4d12,,radiant,,"n see in the Cylinder, choose which of these lights shines on it: Healing Light. The target regains Hit Points equal to 4d12 plus your spellcasting ability modifier. Searing Light. The target makes a Dexterity saving throw, taking 6d12 Radiant damage on a failed save or half as much",Spell Descriptions: Conjure Celestial
conjure-celestial-damage-2,conjure-celestial,Conjure Celestial,damage,6d12,,radiant,,"equal to 4d12 plus your spellcasting ability modifier. Searing Light. The target makes a Dexterity saving throw, taking 6d12 Radiant damage on a failed save or half as much damage on a successful one. Until the spell ends, Bright Light fills the Cylinder, and when you move on your tu",Spell Descriptions: Conjure Celestial
conjure-celestial-damage-3,conjure-celestial,Conjure Celestial,damage,1d12,,,,e can be affected by this spell only once per turn. Using a Higher-Level Spell Slot. The healing and damage increase by 1d12 for each spell slot level above 7.,Spell Descriptions: Conjure Celestial
conjure-elemental-damage-1,conjure-elemental,Conjure Elemental,damage,8d8,,,,"at creature to make a Dexterity saving throw if the spirit has no creature Restrained. On failed save, the target takes 8d8 damage of the spirit's type, and the target has the Restrained condition until the spell ends. At the start of each of its turns, the Restrained target repeats",Spell Descriptions: Conjure Elemental
conjure-elemental-damage-2,conjure-elemental,Conjure Elemental,damage,4d8,,,,"ell ends. At the start of each of its turns, the Restrained target repeats the save. On a failed save, the target takes 4d8 damage of the spirit's type. On a successful save, the target isn't Restrained by the spirit. Using a Higher-Level Spell Slot. The damage increases by 1d8 for",Spell Descriptions: Conjure Elemental
conjure-elemental-damage-3,conjure-elemental,Conjure Elemental,damage,1d8,,,,"a successful save, the target isn't Restrained by the spirit. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.",Spell Descriptions: Conjure Elemental
conjure-fey-damage-1,conjure-fey,Conjure Fey,damage,3d12,,psychic,,"make one melee spell attack against a creature within 5 feet of it. On a hit, the target takes Psychic damage equal to 3d12 plus your spellcasting ability modifier, and the target has the Frightened condition until the start of your next turn, with both you and the spirit as the sou",Spell Descriptions: Conjure Fey
conjure-fey-damage-2,conjure-fey,Conjure Fey,damage,1d12,,,,ft and make the attack against a creature within 5 feet of it. Using a Higher-Level Spell Slot. The damage increases by 1d12 for each spell slot level above 6.,Spell Descriptions: Conjure Fey
conjure-minor-elementals-damage-1,conjure-minor-elementals,Conjure Minor Elementals,damage,2d8,,acid;cold;fire;lightning,,"that flit around you in a 15-foot Emanation for the duration. Until the spell ends, any attack you make deals an extra 2d8 damage when you hit a creature in the Emanation. This damage is Acid, Cold, Fire, or Lightning (your choice when you make the attack). In addition, the ground",Spell Descriptions: Conjure Minor Elementals
conjure-minor-elementals-damage-2,conjure-minor-elementals,Conjure Minor Elementals,damage,1d8,,,,ground in the Emanation is Difficult Terrain for your enemies. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Conjure Minor Elementals
conjure-woodland-beings-damage-1,conjure-woodland-beings,Conjure Woodland Beings,damage,5d8,,force,,"ers the Emanation or ends its turn there, you can force that creature to make a Wisdom saving throw. The creature takes 5d8 Force damage on a failed save or half as much damage on a successful one. A creature makes this save only once per turn. In addition, you can take the Disengag",Spell Descriptions: Conjure Woodland Beings
conjure-woodland-beings-damage-2,conjure-woodland-beings,Conjure Woodland Beings,damage,1d8,,,,e Disengage action as a Bonus Action for the spell's duration. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Conjure Woodland Beings
contact-other-plane-damage-1,contact-other-plane,Contact Other Plane,damage,6d6,,psychic,,"one-word answer would be misleading, the GM might instead offer a short phrase as an answer. On a failed save, you take 6d6 Psychic damage and have the Incapacitated condition until you finish a Long Rest. A Greater Restoration spell cast on you ends this effect.",Spell Descriptions: Contact Other Plane
contagion-damage-1,contagion,Contagion,damage,11d8,,necrotic,,"Your touch inflicts a magical contagion. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned, the target has Disadvantage on saving throws",Spell Descriptions: Contagion
control-water-damage-1,control-water,Control Water,damage,2d8,,bludgeoning,,"the first time on a turn or ends its turn there, it makes a Strength saving throw. On a failed save, the creature takes 2d8 Bludgeoning damage. On a successful save, the creature takes half as much damage. A creature can swim away from the whirlpool only if it first takes an action",Spell Descriptions: Control Water
cure-wounds-healing-1,cure-wounds,Cure Wounds,healing,2d8,,,hit-points,A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.,Spell Descriptions: Cure Wounds
delayed-blast-fireball-damage-1,delayed-blast-fireball,Delayed Blast Fireball,damage,12d6,,,,"to the total accumulated damage on a failed save or half as much damage on a successful one. The spell's base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn't ended. If a creature touches the glowing bead before the spell ends, that creatur",Spell Descriptions: Delayed Blast Fireball
delayed-blast-fireball-damage-2,delayed-blast-fireball,Delayed Blast Fireball,damage,1d6,,,,"a failed save or half as much damage on a successful one. The spell's base damage is 12d6, and the damage increases by 1d6 whenever your turn ends and the spell hasn't ended. If a creature touches the glowing bead before the spell ends, that creature makes a Dexterity saving throw.",Spell Descriptions: Delayed Blast Fireball
delayed-blast-fireball-damage-3,delayed-blast-fireball,Delayed Blast Fireball,damage,1d6,,,,xplosion that aren't being worn or carried start burning. Using a Higher-Level Spell Slot. The base damage increases by 1d6 for each spell slot level above 7.,Spell Descriptions: Delayed Blast Fireball
dimension-door-damage-1,dimension-door,Dimension Door,damage,4d6,,force,,"e occupied by a creature or completely filled by one or more objects, you and any creature traveling with you each take 4d6 Force damage, and the teleportation fails.",Spell Descriptions: Dimension Door
disintegrate-damage-1,disintegrate,Disintegrate,damage,10d6+40,,force,,"by Wall of Force. A creature targeted by this spell makes a Dexterity saving throw. On a failed save, the target takes 10d6 + 40 Force damage. If this damage reduces it to 0 Hit Points, it and everything nonmagical it is wearing and carrying are disintegrated into gray dust. The target c",Spell Descriptions: Disintegrate
disintegrate-damage-2,disintegrate,Disintegrate,damage,3d6,,,,"larger, this spell disintegrates a 10-foot-Cube portion of it. Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6.",Spell Descriptions: Disintegrate
dissonant-whispers-damage-1,dissonant-whispers,Dissonant Whispers,damage,3d6,,psychic,,"within range hears a discordant melody in its mind. The target makes a Wisdom saving throw. On a failed save, it takes 3d6 Psychic damage and must immediately use its Reaction, if available, to move as far away from you as it can, using the safest route. On a successful save, the t",Spell Descriptions: Dissonant Whispers
dissonant-whispers-damage-2,dissonant-whispers,Dissonant Whispers,damage,1d6,,,,"a successful save, the target takes half as much damage only. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",Spell Descriptions: Dissonant Whispers
divine-favor-damage-1,divine-favor,Divine Favor,damage,1d4,,radiant,,"Until the spell ends, your attacks with weapons deal an extra 1d4 Radiant damage on a hit.",Spell Descriptions: Divine Favor
divine-smite-damage-1,divine-smite,Divine Smite,damage,2d8,,radiant,,The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead. Using a Higher-Level Spell Slot. The damage increases by 1d8,Spell Descriptions: Divine Smite
divine-smite-damage-2,divine-smite,Divine Smite,damage,1d8,,radiant,,The target takes an extra 2d8 Radiant damage from the attack. The damage increases by 1d8 if the target is a Fiend or an Undead. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.,Spell Descriptions: Divine Smite
divine-smite-damage-3,divine-smite,Divine Smite,damage,1d8,,,,damage increases by 1d8 if the target is a Fiend or an Undead. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.,Spell Descriptions: Divine Smite
dragons-breath-damage-1,dragons-breath,Dragon's Breath,damage,3d6,,,,"get can take a Magic action to exhale a 15-foot Cone. Each creature in that area makes a Dexterity saving throw, taking 3d6 damage of the chosen type on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each sp",Spell Descriptions: Dragon's Breath
dragons-breath-damage-2,dragons-breath,Dragon's Breath,damage,1d6,,,,e on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.,Spell Descriptions: Dragon's Breath
dream-damage-1,dream,Dream,damage,3d6,,psychic,,"then the target makes a Wisdom saving throw. On a failed save, the target gains no benefit from its rest, and it takes 3d6 Psychic damage when it wakes up.",Spell Descriptions: Dream
earthquake-damage-1,earthquake,Earthquake,damage,12d6,,bludgeoning,,"ing structure equal to half the structure's height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful",Spell Descriptions: Earthquake
eldritch-blast-damage-1,eldritch-blast,Eldritch Blast,damage,1d10,,force,,"eam of crackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the target takes 1d10 Force damage. Cantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the sam",Spell Descriptions: Eldritch Blast
enlarge-reduce-damage-1,enlarge-reduce,Enlarge/Reduce,damage,1d4,,,,"ngth checks and Strength saving throws. The target's attacks with its enlarged weapons or Unarmed Strikes deal an extra 1d4 damage on a hit. Reduce. The target's size decreases by one category--from Medium to Small, for example. The target also has Disadvantage on Strength checks an",Spell Descriptions: Enlarge/Reduce
enlarge-reduce-damage-2,enlarge-reduce,Enlarge/Reduce,damage,1d4,,,,ge on Strength checks and Strength saving throws. The target's attacks with its reduced weapons or Unarmed Strikes deal 1d4 less damage on a hit (this can't reduce the damage below 1).,Spell Descriptions: Enlarge/Reduce
ensnaring-strike-damage-1,ensnaring-strike,Ensnaring Strike,damage,1d6,,piercing,,"il the spell ends. On a successful save, the vines shrivel away, and the spell ends. While Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength (Athletics) check against",Spell Descriptions: Ensnaring Strike
ensnaring-strike-damage-2,ensnaring-strike,Ensnaring Strike,damage,1d6,,,,"heck against your spell save DC. On a success, the spell ends. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.",Spell Descriptions: Ensnaring Strike
faithful-hound-damage-1,faithful-hound,Faithful Hound,damage,4d8,,force,,", the hound attempts to bite one enemy within 5 feet of it. That enemy must succeed on a Dexterity saving throw or take 4d8 Force damage. On your later turns, you can take a Magic action to move the hound up to 30 feet.",Spell Descriptions: Faithful Hound
false-life-healing-1,false-life,False Life,healing,2d4+4,,,temporary-hit-points,You gain 2d4 + 4 Temporary Hit Points. Using a Higher-Level Spell Slot. You gain 5 additional Temporary Hit Points for each spell slot level above 1.,Spell Descriptions: False Life
